subject,exam_type,question,option_a,option_b,option_c,option_d,correct_answer,explanation,year
Physics,WAEC,Which electrical device does the diagram illustrate?,a.c. generator,a.c. motor,d.c. generator,d.c. motor,B,,2018
Physics,NECO,Which electrical device does the diagram illustrate?,a.c. generator,a.c. motor,d.c. generator,d.c. motor,B,,2018
Physics,WAEC,"A simple barometer is constructed using liquid Q of density 16.2 g/cm³. Calculate the least length of the tube to measure pressure of 1.5 atmospheres (density of mercury = 13.6 g/cm³, 1 atmosphere = 76.0 cm of mercury)",1358 mm,957 mm,760 mm,638 mm,D,,2018
Physics,NECO,"A simple barometer is constructed using liquid Q of density 16.2 g/cm³. Calculate the least length of the tube to measure pressure of 1.5 atmospheres (density of mercury = 13.6 g/cm³, 1 atmosphere = 76.0 cm of mercury)",1358 mm,957 mm,760 mm,638 mm,D,,2018
Physics,WAEC,A bar AB is balanced horizontally on two knife edges. Determine the weight of the bar,10.0 N,20.0 N,40.0 N,50.0 N,B,,2018
Physics,NECO,A bar AB is balanced horizontally on two knife edges. Determine the weight of the bar,10.0 N,20.0 N,40.0 N,50.0 N,B,,2018
Physics,WAEC,"To obtain a virtual, erect and magnified image from a thin converging lens, an object must be placed",between the focus and the lens,at the focus,between the focus and twice the focal length,beyond twice the focal length,A,,2018
Physics,NECO,"To obtain a virtual, erect and magnified image from a thin converging lens, an object must be placed",between the focus and the lens,at the focus,between the focus and twice the focal length,beyond twice the focal length,A,,2018
Physics,WAEC,"In the transverse travelling wave diagram, which two points are 180° out of phase?",A and E,B and D,C and F,D and H,B,,2018
Physics,NECO,"In the transverse travelling wave diagram, which two points are 180° out of phase?",A and E,B and D,C and F,D and H,B,,2018
Physics,WAEC,Two objects P and Q of masses 100 kg and 20 kg are 1.2 m apart on a horizontal surface. Calculate the net gravitational force acting on Q (G=6.67×10⁻¹¹ Nm² kg⁻²),1.11×10⁻⁷ towards P,1.11×10⁻⁷ towards Q,9.26×10⁻⁸ towards P,9.26×10⁻⁸ towards Q,D,,2018
Physics,NECO,Two objects P and Q of masses 100 kg and 20 kg are 1.2 m apart on a horizontal surface. Calculate the net gravitational force acting on Q (G=6.67×10⁻¹¹ Nm² kg⁻²),1.11×10⁻⁷ towards P,1.11×10⁻⁷ towards Q,9.26×10⁻⁸ towards P,9.26×10⁻⁸ towards Q,D,,2018
Physics,WAEC,"The primary of a transformer has 100 turns and secondary has 200 turns. If voltage at primary is 100V, determine voltage at secondary",50V,100V,200V,400V,C,,2018
Physics,NECO,"The primary of a transformer has 100 turns and secondary has 200 turns. If voltage at primary is 100V, determine voltage at secondary",50V,100V,200V,400V,C,,2018
Physics,WAEC,"A block of mass M is at rest on a plane inclined at angle θ to the horizontal. As θ increases, the velocity ratio of the plane",increases,decreases,remains the same,decreases and later increases,A,,2018
Physics,NECO,"A block of mass M is at rest on a plane inclined at angle θ to the horizontal. As θ increases, the velocity ratio of the plane",increases,decreases,remains the same,decreases and later increases,A,,2018
Physics,WAEC,"When the speed of a car is halved, its kinetic energy is",doubled,quartered,halved,quadrupled,B,,2018
Physics,NECO,"When the speed of a car is halved, its kinetic energy is",doubled,quartered,halved,quadrupled,B,,2018
Physics,WAEC,"A wire of length 400 cm is stretched between two fixed points. When plucked, its fundamental frequency is 150 Hz. Calculate the speed of the wave produced",250 ms⁻¹,625 ms⁻¹,1200 ms⁻¹,1500 ms⁻¹,C,,2018
Physics,NECO,"A wire of length 400 cm is stretched between two fixed points. When plucked, its fundamental frequency is 150 Hz. Calculate the speed of the wave produced",250 ms⁻¹,625 ms⁻¹,1200 ms⁻¹,1500 ms⁻¹,C,,2018
Physics,WAEC,The diagram illustrates a wavefront. Determine the number of wavelengths in it,4,3½,2½,2,C,,2018
Physics,NECO,The diagram illustrates a wavefront. Determine the number of wavelengths in it,4,3½,2½,2,C,,2018
Physics,WAEC,A resistor with fixed resistance value is called,resistance box,standard resistor,ohm,digital multiplier,B,,2018
Physics,NECO,A resistor with fixed resistance value is called,resistance box,standard resistor,ohm,digital multiplier,B,,2018
Physics,WAEC,Which is NOT an advantage of an alkaline accumulator?,the electrolyte does not need attention,it can be recharged,it has low internal resistance,it has a much longer life than lead-acid accumulator,D,,2018
Physics,NECO,Which is NOT an advantage of an alkaline accumulator?,the electrolyte does not need attention,it can be recharged,it has low internal resistance,it has a much longer life than lead-acid accumulator,D,,2018
Physics,WAEC,"In a three-pin plug, the wires P, Q and R respectively are","live, neutral and earth","earth, live and neutral","D, earth, neutral and live","D, earth, neutral and live",A,,2018
Physics,NECO,"In a three-pin plug, the wires P, Q and R respectively are","live, neutral and earth","earth, live and neutral","D, earth, neutral and live","D, earth, neutral and live",A,,2018
Physics,WAEC,Which of the following statements about parallel plate capacitors is correct? I. Capacitance inversely proportional to distance between plates II. Capacitors can filter a.c. signals from d.c. III. Capacitors can store charges,A. I only,I and II only,II and III only,"D, I, II and III",D,,2018
Physics,NECO,Which of the following statements about parallel plate capacitors is correct? I. Capacitance inversely proportional to distance between plates II. Capacitors can filter a.c. signals from d.c. III. Capacitors can store charges,A. I only,I and II only,II and III only,"D, I, II and III",D,,2018
Physics,WAEC,"A circuit contains three ammeters A₁, A₂, A₃ with readings of A₂ and A₃ as in diagram. Determine reading of A₁",2A,3A,65A,8A,A,,2018
Physics,NECO,"A circuit contains three ammeters A₁, A₂, A₃ with readings of A₂ and A₃ as in diagram. Determine reading of A₁",2A,3A,65A,8A,A,,2018
Physics,WAEC,Which of the following statements about magnetic lines of force is NOT correct?,They pass through even non-magnetic materials,They run from north pole to south pole,They are in a state of tension and tend to be as short as possible,They intersect one another,D,,2018
Physics,NECO,Which of the following statements about magnetic lines of force is NOT correct?,They pass through even non-magnetic materials,They run from north pole to south pole,They are in a state of tension and tend to be as short as possible,They intersect one another,D,,2018
Physics,WAEC,Which of the following activities is NOT useful in an induction coil?,Investigating high voltages,Study of electric discharge,Operation of X-ray tubes,D.C. power transmission,D,,2018
Physics,NECO,Which of the following activities is NOT useful in an induction coil?,Investigating high voltages,Study of electric discharge,Operation of X-ray tubes,D.C. power transmission,D,,2018
Physics,WAEC,"In a series R.L.C. circuit, R=10Ω, Xc=4Ω and XL=9Ω. The impedance of the circuit is",4.1,5.0,10.8,11.2,D,,2018
Physics,NECO,"In a series R.L.C. circuit, R=10Ω, Xc=4Ω and XL=9Ω. The impedance of the circuit is",4.1,5.0,10.8,11.2,D,,2018
Physics,WAEC,A student uses two compass needles to investigate the magnetic field around a bar magnet. Which diagram shows the correct directions of the needles?,A,B,C,D,B,,2018
Physics,NECO,A student uses two compass needles to investigate the magnetic field around a bar magnet. Which diagram shows the correct directions of the needles?,A,B,C,D,B,,2018
Physics,WAEC,Which of the following particles may be emitted in a process of natural radioactivity?,α-particles and β-particles,α-particles and X-rays,β-particles and X-rays,γ-particles and X-rays,A,,2018
Physics,NECO,Which of the following particles may be emitted in a process of natural radioactivity?,α-particles and β-particles,α-particles and X-rays,β-particles and X-rays,γ-particles and X-rays,A,,2018
Physics,WAEC,In which situations is photoelectric effect employed? I. Automatic devices for switching on light at dusk II. Automatic doors in departmental stores III. Automatic devices for switching on air conditions IV. Automatic voltage stabilization,"A. I, II and IV only","B. I, III and IV only",C. III and IV only,D. I and II only,B,,2018
Physics,NECO,In which situations is photoelectric effect employed? I. Automatic devices for switching on light at dusk II. Automatic doors in departmental stores III. Automatic devices for switching on air conditions IV. Automatic voltage stabilization,"A. I, II and IV only","B. I, III and IV only",C. III and IV only,D. I and II only,B,,2018
Physics,WAEC,Which of the following radiations has the longest wavelength?,Gamma ray,Radio wave,Infrared ray,X-ray,B,,2018
Physics,NECO,Which of the following radiations has the longest wavelength?,Gamma ray,Radio wave,Infrared ray,X-ray,B,,2018
Physics,WAEC,In which of the following fields are radioisotopes NOT used?,Medicine,Oil industry,Agriculture,Weather forecast,D,,2018
Physics,NECO,In which of the following fields are radioisotopes NOT used?,Medicine,Oil industry,Agriculture,Weather forecast,D,,2018
Physics,WAEC,A nuclide is represented as ⁷⁰B. Determine its neutron-proton ratio,0.5,0.8,1.2,1.5,B,,2018
Physics,NECO,A nuclide is represented as ⁷⁰B. Determine its neutron-proton ratio,0.5,0.8,1.2,1.5,B,,2018
Physics,WAEC,The time rate of increase in velocity is called,force,momentum,acceleration,speed,C,,2019
Physics,NECO,The time rate of increase in velocity is called,force,momentum,acceleration,speed,C,,2019
Physics,WAEC,Which of the following quantities is a vector?,volume,momentum,energy,speed,B,,2019
Physics,NECO,Which of the following quantities is a vector?,volume,momentum,energy,speed,B,,2019
Physics,WAEC,"In an elastic collision, momentum is conserved as well as",velocity,kinetic energy,potential energy,speed,B,,2019
Physics,NECO,"In an elastic collision, momentum is conserved as well as",velocity,kinetic energy,potential energy,speed,B,,2019
Physics,WAEC,The induced current in a coil always flows in a direction so as to oppose the change that causes it. This statement is known as,Coulomb's law,Lenz's law,Faraday's,Ampere's Speed,B,,2019
Physics,NECO,The induced current in a coil always flows in a direction so as to oppose the change that causes it. This statement is known as,Coulomb's law,Lenz's law,Faraday's,Ampere's Speed,B,,2019
Physics,WAEC,Which of the following instruments can be used to compare the magnitudes of charges on two given bodies?,Electrophorus,Ebonite rod,Gold-leaf electroscope,Proof planes,C,,2019
Physics,NECO,Which of the following instruments can be used to compare the magnitudes of charges on two given bodies?,Electrophorus,Ebonite rod,Gold-leaf electroscope,Proof planes,C,,2019
Physics,WAEC,A body of mass 2 kg is released from a point 100 m above the ground. Calculate its kinetic energy 80 m from the point of release,1600 J,900 J,600 J,200 J,A,,2019
Physics,NECO,A body of mass 2 kg is released from a point 100 m above the ground. Calculate its kinetic energy 80 m from the point of release,1600 J,900 J,600 J,200 J,A,,2019
Physics,WAEC,Which of the following waves is NOT mechanical?,Waves in pipes,Water waves,Radio waves,Sound waves,C,,2019
Physics,NECO,Which of the following waves is NOT mechanical?,Waves in pipes,Water waves,Radio waves,Sound waves,C,,2019
Physics,WAEC,A loaded spring is set in simple harmonic motion. The force that tends to restore the load to its equilibrium position is,adhesive,elastic,frictional,gravitational,B,,2019
Physics,NECO,A loaded spring is set in simple harmonic motion. The force that tends to restore the load to its equilibrium position is,adhesive,elastic,frictional,gravitational,B,,2019
Physics,WAEC,Which of the following cases cannot produce total internal reflection?,light ray from A. glass to air,light ray from B. kerosene to air,C. air to water,D. water to air,C,,2019
Physics,NECO,Which of the following cases cannot produce total internal reflection?,light ray from A. glass to air,light ray from B. kerosene to air,C. air to water,D. water to air,C,,2019
Physics,WAEC,The vacuum in a thermoflask reduces heat loss resulting from,radiation and convection only,conduction and convection only,radiation and conduction only,conduction only,C,,2019
Physics,NECO,The vacuum in a thermoflask reduces heat loss resulting from,radiation and convection only,conduction and convection only,radiation and conduction only,conduction only,C,,2019
Physics,WAEC,The diagram represents an experimental set-up for verifying,lens formula,refraction laws,reflection laws,mirror formula,A,,2019
Physics,NECO,The diagram represents an experimental set-up for verifying,lens formula,refraction laws,reflection laws,mirror formula,A,,2019
Physics,WAEC,Which of the following statements about a moving object is correct?,"When accelerating, resultant force must be equal to zero",There must always be a non-zero resultant force on it,"At steady velocity, resultant force must be equal to zero","At steady velocity, air resistance must be equal to zero",C,,2019
Physics,NECO,Which of the following statements about a moving object is correct?,"When accelerating, resultant force must be equal to zero",There must always be a non-zero resultant force on it,"At steady velocity, resultant force must be equal to zero","At steady velocity, air resistance must be equal to zero",C,,2019
Physics,WAEC,"If the efficiency of a transformer is 100%, which equation would be correct?",N_s E_s = N_p E_p,I_p d_p = N_s l_p,C N_s l_s = N_p l_p,D I_p E_s = I_s E_p,C,,2019
Physics,NECO,"If the efficiency of a transformer is 100%, which equation would be correct?",N_s E_s = N_p E_p,I_p d_p = N_s l_p,C N_s l_s = N_p l_p,D I_p E_s = I_s E_p,C,,2019
Physics,WAEC,A freshly demagnetized bar magnet is placed in the East-West direction to ensure that,the molecular magnets remain randomly arranged,the molecular magnets are properly aligned,it is affected by the earth's magnetic field,the magnetic domains are within the earth's field,B,,2019
Physics,NECO,A freshly demagnetized bar magnet is placed in the East-West direction to ensure that,the molecular magnets remain randomly arranged,the molecular magnets are properly aligned,it is affected by the earth's magnetic field,the magnetic domains are within the earth's field,B,,2019
Physics,WAEC,Which graph of charge Q against potential V across a capacitor is correct?,Graph A,Graph B,Graph C,Graph D,A,,2019
Physics,NECO,Which graph of charge Q against potential V across a capacitor is correct?,Graph A,Graph B,Graph C,Graph D,A,,2019
Physics,WAEC,A small amount of air is introduced into the vacuum above the mercury in a mercury barometer tube. The mercury level goes down because the air molecules,heat the mercury and make it expand,increase the pressure above the mercury,cool the mercury above and contract,decrease the pressure above the mercury,D,,2019
Physics,NECO,A small amount of air is introduced into the vacuum above the mercury in a mercury barometer tube. The mercury level goes down because the air molecules,heat the mercury and make it expand,increase the pressure above the mercury,cool the mercury above and contract,decrease the pressure above the mercury,D,,2019
Physics,WAEC,"Calculate the quantity of heat needed to change the temperature of 60g of ice at 0°C to 80°C (specific latent heat of fusion of ice = 3.36×10⁵ Jkg⁻¹, specific heat capacity of water = 4.2×10³ Jkg⁻¹K⁻¹)",4.80 kJ,20.16 kJ,40.32 kJ,22.17 kJ,C,,2019
Physics,NECO,"Calculate the quantity of heat needed to change the temperature of 60g of ice at 0°C to 80°C (specific latent heat of fusion of ice = 3.36×10⁵ Jkg⁻¹, specific heat capacity of water = 4.2×10³ Jkg⁻¹K⁻¹)",4.80 kJ,20.16 kJ,40.32 kJ,22.17 kJ,C,,2019
Physics,WAEC,The wire of a platinum resistance thermometer has a resistance of 3.5Ω at 0°C and 10.5Ω at 100°C. Calculate the temperature when its resistance is 7.5Ω,78°C,57°C,36°C,19°C,B,,2019
Physics,NECO,The wire of a platinum resistance thermometer has a resistance of 3.5Ω at 0°C and 10.5Ω at 100°C. Calculate the temperature when its resistance is 7.5Ω,78°C,57°C,36°C,19°C,B,,2019
Physics,WAEC,A transverse pulse of frequency 9 Hz travels 4.5 m in 0.6 s. Calculate the wavelength of the pulse,3.33 m,0.30 m,0.83 m,1.20 m,C,,2019
Physics,NECO,A transverse pulse of frequency 9 Hz travels 4.5 m in 0.6 s. Calculate the wavelength of the pulse,3.33 m,0.30 m,0.83 m,1.20 m,C,,2019
Physics,WAEC,In which of the following media is speed of sound the least?,Air,Brass,Water,Wood,A,,2019
Physics,NECO,In which of the following media is speed of sound the least?,Air,Brass,Water,Wood,A,,2019
Physics,WAEC,Which of the following characteristics of waves can a ripple tank demonstrate? I. Reflection II. Refraction III. Diffraction,"A, I, II and III","B, II and III only","C, I and III only","D, I and II only",A,,2019
Physics,NECO,Which of the following characteristics of waves can a ripple tank demonstrate? I. Reflection II. Refraction III. Diffraction,"A, I, II and III","B, II and III only","C, I and III only","D, I and II only",A,,2019
Physics,WAEC,Which graph gives the correct relationship between energy and mass when mass is converted to energy?,Graph A,Graph B,Graph C,Graph D,B,,2019
Physics,NECO,Which graph gives the correct relationship between energy and mass when mass is converted to energy?,Graph A,Graph B,Graph C,Graph D,B,,2019
Physics,WAEC,"An 800 kg car moving at 80 km/hr collides with a 1200 kg car moving at 40 km/hr in the same direction. If cars stick together, calculate their common velocity",60 km/hr,8 km/hr,40 km/hr,56 km/hr,D,,2019
Physics,NECO,"An 800 kg car moving at 80 km/hr collides with a 1200 kg car moving at 40 km/hr in the same direction. If cars stick together, calculate their common velocity",60 km/hr,8 km/hr,40 km/hr,56 km/hr,D,,2019
Physics,WAEC,The mass of a load is doubled while the force acting on it is halved. The resulting acceleration of the load is,quadrupled,quartered,halved,doubled,B,,2019
Physics,NECO,The mass of a load is doubled while the force acting on it is halved. The resulting acceleration of the load is,quadrupled,quartered,halved,doubled,B,,2019
Physics,WAEC,The maximum and minimum thermometer reads maximum temperature during the day and minimum temperature at night at all times,maximum temperature at night and minimum temperature during the day from last reset,maximum temperature during the day from last reset,maximum temperature at night and maximum temperature during the day from last reset,maximum temperature during the day and minimum temperature at night from the last reset,D,,2019
Physics,NECO,The maximum and minimum thermometer reads maximum temperature during the day and minimum temperature at night at all times,maximum temperature at night and minimum temperature during the day from last reset,maximum temperature during the day from last reset,maximum temperature at night and maximum temperature during the day from last reset,maximum temperature during the day and minimum temperature at night from the last reset,D,,2019
Physics,WAEC,An a.c. generator can be converted to a d.c. generator by replacing the,commutator with an armature,armature with a commutator,commutator with slip rings,slip rings with a commutator,B,,2019
Physics,NECO,An a.c. generator can be converted to a d.c. generator by replacing the,commutator with an armature,armature with a commutator,commutator with slip rings,slip rings with a commutator,B,,2019
Physics,WAEC,Which statement is the correct reason for using soft iron in making the armature of an electric bell?,It is a diamagnetic material,It loses its magnetism readily,It does not easily magnetized,It retains its magnetism for a long time,B,,2019
Physics,NECO,Which statement is the correct reason for using soft iron in making the armature of an electric bell?,It is a diamagnetic material,It loses its magnetism readily,It does not easily magnetized,It retains its magnetism for a long time,B,,2019
Physics,WAEC,The diagram illustrates a meter bridge circuit. Determine the value of x,71.4 cm,10.0 cm,28.6 cm,57.2 cm,D,,2019
Physics,NECO,The diagram illustrates a meter bridge circuit. Determine the value of x,71.4 cm,10.0 cm,28.6 cm,57.2 cm,D,,2019
Physics,WAEC,Which device is used for storing electric charges?,transformer,ammeter,potentiometer,capacitor,D,,2019
Physics,NECO,Which device is used for storing electric charges?,transformer,ammeter,potentiometer,capacitor,D,,2019
Physics,WAEC,Determine the angular speed of the electron moving at 2.0×10⁶ ms⁻¹ in a circular path of radius 6.1×10⁻¹¹ m,3.28×10¹⁶ rad s⁻¹,8.55×10⁵ rad s⁻¹,9.11×10⁻³¹ rad s⁻¹,5.22×10⁵ rad s⁻¹,A,,2019
Physics,NECO,Determine the angular speed of the electron moving at 2.0×10⁶ ms⁻¹ in a circular path of radius 6.1×10⁻¹¹ m,3.28×10¹⁶ rad s⁻¹,8.55×10⁵ rad s⁻¹,9.11×10⁻³¹ rad s⁻¹,5.22×10⁵ rad s⁻¹,A,,2019
Physics,WAEC,"Calculate the centripetal force acting on the electron (mass 9.1×10⁻³¹ kg, v=2.0×10⁶ ms⁻¹, r=6.1×10⁻¹¹ m)",7.7×10⁻⁷ N,6.0×10⁻⁸ N,3.0×10⁻¹⁴ N,1.3×10⁻²⁶ N,C,,2019
Physics,NECO,"Calculate the centripetal force acting on the electron (mass 9.1×10⁻³¹ kg, v=2.0×10⁶ ms⁻¹, r=6.1×10⁻¹¹ m)",7.7×10⁻⁷ N,6.0×10⁻⁸ N,3.0×10⁻¹⁴ N,1.3×10⁻²⁶ N,C,,2019
Physics,WAEC,A device consumes 100W of power when connected to a 120V source. Calculate its resistance,1.2Ω,12000.0Ω,20.0Ω,144.0Ω,D,,2019
Physics,NECO,A device consumes 100W of power when connected to a 120V source. Calculate its resistance,1.2Ω,12000.0Ω,20.0Ω,144.0Ω,D,,2019
Physics,WAEC,Which property of a wave remains constant when the wave travels from one medium into another?,amplitude,wavelength,velocity,frequency,D,,2019
Physics,NECO,Which property of a wave remains constant when the wave travels from one medium into another?,amplitude,wavelength,velocity,frequency,D,,2019
Physics,WAEC,The anomalous expansion of water occurs in the range,0°C to 100°C,B. 0°C to 4°C,4°C to 100°C,–4°C to 0°C,B,,2019
Physics,NECO,The anomalous expansion of water occurs in the range,0°C to 100°C,B. 0°C to 4°C,4°C to 100°C,–4°C to 0°C,B,,2019
Physics,WAEC,A ray of light travelling from a rectangular glass block of refractive index 1.5 into air strikes the block at an angle of incidence of 30°. Calculate its angle of refraction,48.6°,19.5°,20.0°,45.0°,A,,2019
Physics,NECO,A ray of light travelling from a rectangular glass block of refractive index 1.5 into air strikes the block at an angle of incidence of 30°. Calculate its angle of refraction,48.6°,19.5°,20.0°,45.0°,A,,2019
Physics,WAEC,A rectangular piece of iron measuring 4 cm by 3 cm at 20°C is heated until its temperature increases by 100°C. Calculate the new area (Linear expansivity of iron = 1.2×10⁻⁵ K⁻¹),12.0144 cm²,12.0346 cm²,12.0288 cm²,12.0173 cm²,C,,2019
Physics,NECO,A rectangular piece of iron measuring 4 cm by 3 cm at 20°C is heated until its temperature increases by 100°C. Calculate the new area (Linear expansivity of iron = 1.2×10⁻⁵ K⁻¹),12.0144 cm²,12.0346 cm²,12.0288 cm²,12.0173 cm²,C,,2019
